W_WP1	W_WP2	W_WP3	W_WP4	W_WP5	W_WP6	W_WP7	W_WP8	time
0.0011966121899722477	0.0011966121899722485	0.0011966121899722472	0.0011966121899722472	0.06849623798154149	0.0	0.0	0.06370978922165249	0
0.001195105913181531	0.001195105913181532	0.0011951059131815305	0.0011951059131815305	0.06849020904084058	0.0	0.0	0.06370978538811446	60
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1020
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1260
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1380
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16200
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16800
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17400
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18600
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19140
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19200
0.006011297667765304	0.006011297667765304	0.006011297667765739	0.006011297667765739	0.08784172405319286	0.0	0.0	0.06379653338213079	19260
0.006011297671611887	0.006011297671611886	0.006011297671611885	0.006011297671611887	0.08784172406874705	0.0	0.0	0.06379653338229949	19380
0.006011297671611887	0.0060112976716118855	0.006011297671611889	0.006011297671611889	0.08784172406874703	0.0	0.0	0.06379653338229949	19800
0.006011297671611887	0.0060112976716118855	0.006011297671611889	0.006011297671611889	0.08784172406874703	0.0	0.0	0.06379653338229949	19980
0.006011297671611884	0.006011297671611881	0.00601129767161188	0.006011297671611884	0.08784172406874706	0.0	0.0	0.06379653338229953	20400
0.006011297671611884	0.006011297671611881	0.00601129767161188	0.006011297671611884	0.08784172406874706	0.0	0.0	0.06379653338229953	21000
0.006075019488994117	0.006075019488994115	0.006075019488994114	0.006075019488994117	0.08809944108249988	0.0	0.0	0.06379936312652341	21600
0.006075019488994117	0.006075019488994115	0.006075019488994114	0.006075019488994117	0.08809944108249988	0.0	0.0	0.06379936312652341	22200
0.006075019488994117	0.006075019488994115	0.006075019488994114	0.006075019488994117	0.08809944108249988	0.0	0.0	0.06379936312652341	22500
0.006075019488995318	0.006075019488995318	0.006075019488995318	0.006075019488995318	0.08809944108250464	0.0	0.0	0.06379936312652336	22620
0.006075019488995324	0.006075019488995325	0.006075019488995324	0.006075019488995324	0.08809944108250464	0.0	0.0	0.06379936312652335	22740
0.006075019488995312	0.006075019488995314	0.006075019488995312	0.006075019488995312	0.08809944108250463	0.0	0.0	0.06379936312652337	22800
0.006075019488995312	0.006075019488995314	0.006075019488995312	0.006075019488995312	0.08809944108250463	0.0	0.0	0.06379936312652337	22860
0.006150469090991928	0.006150469090991929	0.006150469090991928	0.006150469090991928	0.08840467339655139	0.0	0.0	0.06380279703258368	22980
0.006150469096334199	0.006150469096334198	0.0061504690963342	0.0061504690963342	0.08840467341816612	0.0	0.0	0.06380279703282932	23100
0.006150469096334197	0.006150469096334196	0.006150469096334195	0.006150469096334197	0.08840467341816609	0.0	0.0	0.06380279703282932	23340
0.006150469096334238	0.006150469096334237	0.006150469096334165	0.006150469096334165	0.08840467341816609	0.0	0.0	0.06380279703282928	23400
0.004915960249101039	0.004915960249101038	0.004915960249100976	0.004915960249100976	0.08342095055616662	0.0	0.0	0.06375710955976259	23940
0.00491596024895885	0.00491596024895885	0.00491596024895885	0.00491596024895885	0.08342095055559391	0.0	0.0	0.06375710955975851	24000
0.00491596024895885	0.00491596024895885	0.00491596024895885	0.00491596024895885	0.08342095055559391	0.0	0.0	0.06375710955975851	24600
0.004931967086897625	0.004931967086897625	0.004931967086897625	0.004931967086897625	0.08348543922152483	0.0	0.0	0.06375757087393434	25200
0.004931967086897625	0.004931967086897625	0.004931967086897625	0.004931967086897625	0.08348543922152483	0.0	0.0	0.06375757087393434	25800
0.004931967086897625	0.004931967086897625	0.004931967086897625	0.004931967086897625	0.08348543922152483	0.0	0.0	0.06375757087393434	26400
0.004931967086897625	0.004931967086897625	0.004931967086897625	0.004931967086897625	0.08348543922152483	0.0	0.0	0.06375757087393434	27000
0.004931967086897625	0.004931967086897625	0.004931967086897625	0.004931967086897625	0.08348543922152483	0.0	0.0	0.06375757087393434	27600
0.004931967086897625	0.004931967086897625	0.004931967086897625	0.004931967086897625	0.08348543922152483	0.0	0.0	0.06375757087393434	28200
0.005012161657423095	0.005012161657423095	0.005012161657423095	0.005012161657423095	0.08380857589348799	0.0	0.0	0.0637599292637956	28800
0.005012161657423095	0.005012161657423095	0.005012161657423095	0.005012161657423095	0.08380857589348799	0.0	0.0	0.0637599292637956	29400
0.005012161657423095	0.005012161657423095	0.005012161657423095	0.005012161657423095	0.08380857589348799	0.0	0.0	0.0637599292637956	30000
0.005012161657423095	0.005012161657423095	0.005012161657423095	0.005012161657423095	0.08380857589348799	0.0	0.0	0.0637599292637956	30600
0.005012161657423095	0.005012161657423095	0.005012161657423095	0.005012161657423095	0.08380857589348799	0.0	0.0	0.0637599292637956	31200
0.005012161657423095	0.005012161657423095	0.005012161657423095	0.005012161657423095	0.08380857589348799	0.0	0.0	0.0637599292637956	31800
0.004999439255783335	0.004999439255783335	0.004999439255783335	0.004999439255783335	0.08375730685350434	0.0	0.0	0.063759549830371	32400
0.004999439255783335	0.004999439255783335	0.004999439255783335	0.004999439255783335	0.08375730685350434	0.0	0.0	0.063759549830371	33000
0.004999439255783335	0.004999439255783335	0.004999439255783335	0.004999439255783335	0.08375730685350434	0.0	0.0	0.063759549830371	33600
0.004999439255783335	0.004999439255783335	0.004999439255783335	0.004999439255783335	0.08375730685350434	0.0	0.0	0.063759549830371	34200
0.004999439255783335	0.004999439255783335	0.004999439255783335	0.004999439255783335	0.08375730685350434	0.0	0.0	0.063759549830371	34800
0.004999439255783335	0.004999439255783335	0.004999439255783335	0.004999439255783335	0.08375730685350434	0.0	0.0	0.063759549830371	35400
0.004934175150670308	0.004934175150670308	0.004934175150670308	0.004934175150670308	0.08349433535704143	0.0	0.0	0.06375763475436019	36000
0.004934175150670308	0.004934175150670308	0.004934175150670308	0.004934175150670308	0.08349433535704143	0.0	0.0	0.06375763475436019	36600
0.004934175150670308	0.004934175150670308	0.004934175150670308	0.004934175150670308	0.08349433535704143	0.0	0.0	0.06375763475436019	37200
0.004934175150670308	0.004934175150670308	0.004934175150670308	0.004934175150670308	0.08349433535704143	0.0	0.0	0.06375763475436019	37800
0.004934175150670308	0.004934175150670308	0.004934175150670308	0.004934175150670308	0.08349433535704143	0.0	0.0	0.06375763475436019	37860
0.004934175150667347	0.004934175150667347	0.004934175150667347	0.004934175150667347	0.08349433535702956	0.0	0.0	0.06375763475436018	37980
0.004934175150667354	0.004934175150667355	0.004934175150667355	0.004934175150667354	0.08349433535702958	0.0	0.0	0.06375763475436015	38100
0.004934175150667359	0.004934175150667359	0.004934175150667359	0.004934175150667359	0.0834943353570296	0.0	0.0	0.06375763475436017	38400
0.004934175150667359	0.004934175150667359	0.004934175150667359	0.004934175150667359	0.0834943353570296	0.0	0.0	0.06375763475436017	38820
0.004934175150667329	0.004934175150667328	0.004934175150667329	0.004934175150667329	0.0834943353570296	0.0	0.0	0.06375763475436028	39000
0.004923580549264911	0.00492358054926491	0.004923580549264911	0.004923580549264911	0.08345165098445731	0.0	0.0	0.06375732878739768	39600
0.004923580549264911	0.00492358054926491	0.004923580549264911	0.004923580549264911	0.08345165098445731	0.0	0.0	0.06375732878739768	40200
0.004923580549264911	0.00492358054926491	0.004923580549264911	0.004923580549264911	0.08345165098445731	0.0	0.0	0.06375732878739768	40800
0.004923580549264911	0.00492358054926491	0.004923580549264911	0.004923580549264911	0.08345165098445731	0.0	0.0	0.06375732878739768	41400
0.004923580549264911	0.00492358054926491	0.004923580549264911	0.004923580549264911	0.08345165098445731	0.0	0.0	0.06375732878739768	42000
0.004923580549264911	0.00492358054926491	0.004923580549264911	0.004923580549264911	0.08345165098445731	0.0	0.0	0.06375732878739768	42600
0.004952289285414287	0.004952289285414286	0.004952289285414287	0.004952289285414287	0.083567318191382	0.0	0.0	0.06375816104972486	43200
0.004952289285414287	0.004952289285414286	0.004952289285414287	0.004952289285414287	0.083567318191382	0.0	0.0	0.06375816104972486	43800
0.004952289285414287	0.004952289285414286	0.004952289285414287	0.004952289285414287	0.083567318191382	0.0	0.0	0.06375816104972486	44400
0.004952289285414287	0.004952289285414286	0.004952289285414287	0.004952289285414287	0.083567318191382	0.0	0.0	0.06375816104972486	44820
0.00495228928541253	0.00495228928541253	0.00495228928541253	0.00495228928541253	0.08356731819137501	0.0	0.0	0.0637581610497249	44940
0.004952289285412538	0.004952289285412538	0.004952289285412538	0.004952289285412538	0.08356731819137503	0.0	0.0	0.06375816104972488	45000
0.004952289285412538	0.004952289285412538	0.004952289285412538	0.004952289285412538	0.08356731819137503	0.0	0.0	0.06375816104972488	45060
0.004952289285412535	0.004952289285412534	0.004952289285412534	0.004952289285412534	0.08356731819137504	0.0	0.0	0.0637581610497249	45420
